Farida,Mohammad,Employed,6,Italian Language Basics ? Italian Language Basics ? Italian Language Basics ? Culinary Skills Workshop ? Culinary Skills Workshop ? Culinary Skills Workshop,3
Amina,Saeed,Employed,6,Italian Language Basics ? Italian Language Basics ? Italian Language Basics ? Culinary Skills Workshop ? Culinary Skills Workshop ? Culinary Skills Workshop,3
Leila,Husein,Employed,4,Italian Language Basics ? Italian Language Basics ? Job Readiness Training ? Job Readiness Training,2
Ahmed,Ibrahim,Employed,4,Italian Language Basics ? Italian Language Basics ? Job Readiness Training ? Job Readiness Training,2
Hana,Rashid,Employed,4,Italian Language Basics ? Italian Language Basics ? Job Readiness Training ? Job Readiness Training,2
Mohammed,Khalil,In Program,2,Job Readiness Training ? Healthcare & Social Services,0
Zainab,Ahmed,Employed,2,Digital Literacy for Adults ? Digital Literacy for Adults,2
Omar,Hassan,In Program,2,Housing Navigation Program ? Italian Language Basics,0
Karim,Mahmoud,In Program,2,Job Readiness Training ? Healthcare & Social Services,0
Hassan,Ali,In Program,2,Digital Literacy for Adults ? Italian Language Basics,0
